NMFS_ID,PCRloc'n,DNAloc'n,rBOXloc,PIT/Tag#,SEX(GHpsi),SEX,PIT_ID,Pop_ID,Status,FishKey_Reach,Remarks,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,HATCHERY,Strain/Mark,Analysis,CrossRef,LENGTH,WEIGHT,Age,SpawnWinter,BirthYear,Notes,Hatchery.Status,STD_Date,CollectionDate,Collection Year,Lifestage,SampleID,Panel,Cross_Ref
K021088,KFV/8H,K309/8H,,1375,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,740,,,W1011,2007,Also picked and extracted under NMFS ID# K022568.,?,,11/1/10,2010,ADULT,26,TMv1,
K021089,KFV/9A,K309/9A,,1370,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,470,,,W1011,2007,,?,,11/1/10,2010,ADULT,27,TMv1,
K021090,KFV/9B,K309/9B,,1373,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,710,,,W1011,2007,,?,,11/1/10,2010,ADULT,28,TMv1,
K021091,KFV/9C,K309/9C,,1392,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,680,,,W1011,2007,,?,,11/1/10,2010,ADULT,29,TMv1,
K021092,KFV/9D,K309/9D,,1362,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,770,,,W1011,2007,,?,,11/1/10,2010,ADULT,30,TMv1,
K021093,KFV/9E,K309/9E,,1388,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,710,,,W1011,2007,Also picked and extracted under NMFS ID#K022576.,?,,11/1/10,2010,ADULT,31,TMv1,
K021094,KFV/9F,K309/9F,,1386,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,430,,,W1011,2007,,?,,11/1/10,2010,ADULT,32,TMv1,
K021095,KFV/9G,K309/9G,,1395,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,,?,,11/1/10,2010,ADULT,34,TMv1,
K021096,KFV/9H,K309/9H,,1926,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,,?,,11/1/10,2010,ADULT,35,TMv1,
K021097,KFV/10A,K309/10A,,1925,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,Also picked and extracted under NMFS ID# K022572.,?,,11/1/10,2010,ADULT,36,TMv1,
K021098,KFV/10B,K309/10B,,1360,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,410,,,W1011,2007,,?,,11/1/10,2010,ADULT,37,TMv1,
K021099,KFV/10C,K309/10C,,1366,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,620,,,W1011,2007,,?,,11/1/10,2010,ADULT,38,TMv1,
K021100,KFV/10D,K309/10D,,1358,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,,?,,11/1/10,2010,ADULT,39,TMv1,
K021101,KFV/10E,K309/10E,,1355,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007,Also picked and extracted under NMFS ID#K022583.,?,,11/1/10,2010,ADULT,40,TMv1,
K021102,KFV/10F,K309/10F,,1378,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007,Also picked and extracted under NMFS ID# K022615.,?,,11/1/10,2010,ADULT,41,TMv1,
K021121,KFW/1A,K310/1A,,1154,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,1,TMv1,
K021122,KFW/1B,K310/1B,,1153,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,440,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,2,TMv1,
K021123,KFW/1C,K310/1C,,1155,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,3,TMv1,
K021124,KFW/1D,K310/1D,,1376,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,750,,,W1011,2007, Also picked and extracted as NMFS ID#K022579.,?,,11/3/10,2010,ADULT,4,TMv1,
K021125,KFW/1E,K310/1E,,1156,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,No marks,,,690,,,W1011,2007,"Wild. No marks. Length given in cm,converted to mm.",?,,11/3/10,2010,ADULT,5,TMv1,
K021126,KFW/1F,K310/1F,,1351,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007, Also picked and extracted as NMFS ID# K022557.,?,,11/3/10,2010,ADULT,6,TMv1,
K021127,KFW/1G,K310/1G,,1158,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,670,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,7,TMv1,
K021128,KFW/1H,K310/1H,,1356,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,No marks,,,670,,,W1011,2007,No marks. ,?,,11/3/10,2010,ADULT,8,TMv1,
K021129,KFW/2A,K310/2A,,1379,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,680,,,W1011,2007, Also picked and extracted as NMFS ID#K022598.,?,,11/3/10,2010,ADULT,9,TMv1,
K021130,KFW/2B,K310/2B,,1157,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,740,,,W1011,2007, Also picked and extracted as NMFS ID# K022612.,?,,11/3/10,2010,ADULT,10,TMv1,
K021131,KFW/2C,K310/2C,,1151,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,650,,,W1011,2007, Also picked and extracted as NMFS ID#K022548.,?,,11/3/10,2010,ADULT,11,TMv1,
K021132,KFW/2D,K310/2D,,1150,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,730,,,W1011,2007, Also picked and extracted as NMFS ID#K022561.,?,,11/3/10,2010,ADULT,12,TMv1,
K021133,KFW/2E,K310/2E,,1353,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,610,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,13,TMv1,
K021134,KFW/2F,K310/2F,,1913,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,RM clipped.,,,610,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,14,TMv1,
K021135,KFW/2G,K310/2G,,1903,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,410,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,15,TMv1,
K021136,KFW/2H,K310/2H,,1914,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007, Also picked and extracted as NMFS ID# K022545.,?,,11/3/10,2010,ADULT,16,TMv1,
K021137,KFW/3A,K310/3A,,1900,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,710,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,17,TMv1,
K021138,KFW/3B,K310/3B,,1381,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,600,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/3/10,2010,ADULT,18,TMv1,
K021139,KFW/3C,K310/3C,,1901,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,750,,,W1011,2007, Also picked and extracted as NMFS ID#K022607.,?,,11/3/10,2010,ADULT,19,TMv1,
K021140,KFW/3D,K310/3D,,1354,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007, Also picked and extracted as NMFS ID#K022578.,?,,11/3/10,2010,ADULT,20,TMv1,
K021141,KFW/3E,K310/3E,,1350,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,470,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,1,TMv1,
K021142,KFW/3F,K310/3F,,1380,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,710,,,W1011,2007, Also picked and extracted as NMFS ID#K022584.,?,,11/5/10,2010,ADULT,2,TMv1,
K021143,KFW/3G,K310/3G,,1910,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,630,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,3,TMv1,
